Date,Open,High,Low,Close,Volume,time_d,DayHigh,DayLow,DayClose,DayOpen,DayVol,hour,minute,allow_entry
2025-10-14 13:50:00,2019.9,2022.8,2016.2,2022.1,8947,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,50,short
2025-10-14 13:55:00,2022.1,2026.0,2017.6,2018.6,10204,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,13,55,short
2025-10-14 14:00:00,2019.4,2023.0,2011.2,2012.5,11484,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,14,0,
2025-10-14 14:05:00,2012.5,2017.0,2006.6,2014.4,17806,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,14,5,
2025-10-14 14:10:00,2014.4,2018.0,2012.5,2013.5,8650,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,14,10,
2025-10-14 14:15:00,2013.3,2023.0,2013.1,2019.1,9725,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,14,15,short
2025-10-14 14:20:00,2019.3,2022.0,2003.1,2006.4,15624,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,14,20,both
2025-10-14 14:25:00,2006.4,2013.0,2004.0,2011.0,11571,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,14,25,
2025-10-14 14:45:00,2014.2,2014.2,2014.2,2014.2,4462,2025-10-14,2041.0,2003.1,2014.2,2013.0,344928,14,45,
2025-10-15 09:00:00,2018.7,2020.5,2015.4,2018.0,7330,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,0,long
2025-10-15 09:05:00,2018.0,2018.5,2015.3,2016.7,3425,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,5,long
2025-10-15 09:10:00,2016.3,2018.1,2016.3,2017.3,2436,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,10,long
2025-10-15 09:15:00,2017.6,2018.0,2014.3,2015.5,5958,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,15,long
2025-10-15 09:20:00,2016.0,2017.5,2014.7,2016.8,5655,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,20,long
2025-10-15 09:25:00,2017.0,2023.0,2016.0,2021.4,10733,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,25,
2025-10-15 09:30:00,2021.5,2024.0,2021.2,2021.6,7602,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,30,
2025-10-15 09:35:00,2021.6,2025.0,2020.6,2022.6,5346,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,35,
2025-10-15 09:40:00,2022.6,2025.3,2022.1,2024.1,6096,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,40,
2025-10-15 09:45:00,2024.1,2024.2,2022.5,2023.6,3414,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,45,
2025-10-15 09:50:00,2023.6,2027.9,2023.6,2027.2,6170,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,50,
2025-10-15 09:55:00,2027.5,2028.9,2025.6,2028.9,4980,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,9,55,short
2025-10-15 10:00:00,2028.9,2031.0,2027.7,2029.8,5772,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,10,0,short
2025-10-15 10:05:00,2029.8,2034.0,2029.2,2030.0,9971,2025-10-15,2034.0,2013.5,2022.0,2018.7,281052,10,5,short
